h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson,biochar_suitability_score,soil_quality_index,suitability_grade,color_hex,recommendation,property_ratings_moisture,property_scores_moisture,property_ratings_soc,property_scores_soc,property_ratings_ph,property_scores_ph,property_ratings_temperature,property_scores_temperature,suitability_score
85816437fffffff,3.6759455,3.4492137,0.21336704,5.1798134,5.188844,301.14053,-50.8541278799405,-12.190887170208246,4706,"[[-50.80852256410116, -12.275170255566817], [-50.75763905249295, -12.195765730071505], [-50.803265600074546, -12.111437677020296], [-50.89972697066829, -12.106543281015059], [-50.950581659070885, -12.185936826078898], [-50.90500392838378, -12.270235748868306]]",68.06,31.94,Moderate Suitability,#f57c00,Suitable – biochar recommended,Poor,1.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,6.806
8581643bfffffff,0.00466497,0.0048770146,0.23033215,0.0055979644,0.0055979644,301.2448,-50.56446347858355,-12.205406525445293,4716,"[[-50.51877598229175, -12.289785219977547], [-50.46784786222577, -12.21027485520168], [-50.513579307838334, -12.125934828935547], [-50.61019125969864, -12.121133539065776], [-50.6610917840291, -12.200633424451345], [-50.61540808182422, -12.284945080146658]]",87.5,12.5,High Suitability,#d32f2f,Very suitable – biochar highly recommended,Poor,1.0,Very Poor,0.0,Very Poor,0.0,Moderate,2.0,8.75
85816447fffffff,0.0,0.0,,0.0,0.0,,-50.224721230769234,-12.304587153846153,13,"[[-50.085883363766996, -12.393133926972997], [-50.03488741854634, -12.31350969251522], [-50.08077683782407, -12.229179446092362], [-50.177616203390144, -12.224500797454636], [-50.228586395689625, -12.304115495048933], [-50.182743106844015, -12.388418378933073]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85816457fffffff,0.0,0.0,,0.0,0.0,,-50.226411642857144,-12.468883476190475,42,"[[-50.0909921717184, -12.556955515187598], [-50.03998487619906, -12.47741631073821], [-50.085883363766996, -12.393133926972997], [-50.182743106844015, -12.388418378933073], [-50.233724615291955, -12.467948403286066], [-50.187872299305674, -12.552203156742912]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85816463fffffff,0.0,0.0,,0.0,0.0,,-50.28299459547092,-12.055692215388575,3886,"[[-50.22345046785027, -12.140151090442156], [-50.172491587494186, -12.060452941133859], [-50.21831683032342, -11.976057723789483], [-50.31505446821019, -11.971387993045804], [-50.36598702476425, -12.051075810087742], [-50.320208398010486, -12.13544369076785]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85816467fffffff,0.0,0.0,,0.0,0.0,,-50.41174065171392,-11.966689133728313,4726,"[[-50.36598702476425, -12.051075810087742], [-50.31505446821019, -11.971387993045804], [-50.36082411741945, -11.886975644756957], [-50.45747931378794, -11.882278695024683], [-50.50838494430745, -11.961955742873752], [-50.462662434611055, -12.046340510294]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
8581646ffffffff,0.0,0.0,,0.0,0.0,,-50.280457095776164,-11.891479082324455,3717,"[[-50.21831683032342, -11.976057723789483], [-50.16736925770739, -11.896277351364397], [-50.213185481659785, -11.811837941867555], [-50.30990283419137, -11.80720596644307], [-50.36082411741945, -11.886975644756957], [-50.31505446821019, -11.971387993045804]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85816473fffffff,0.0,0.0,,0.0,0.0,,-50.28566894462299,-12.21966871619283,4045,"[[-50.228586395689625, -12.304115495048933], [-50.177616203390144, -12.224500797454636], [-50.22345046785027, -12.140151090442156], [-50.320208398010486, -12.13544369076785], [-50.371152232056936, -12.2150484164032], [-50.32536462504379, -12.299370514486187]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85816477fffffff,0.0,0.0,,0.0,0.0,,-50.41691570099597,-12.130667859080313,4719,"[[-50.371152232056936, -12.2150484164032], [-50.320208398010486, -12.13544369076785], [-50.36598702476425, -12.051075810087742], [-50.462662434611055, -12.046340510294], [-50.513579307838334, -12.125934828935547], [-50.46784786222577, -12.21027485520168]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85816483fffffff,3.14714,3.0042527,0.20861456,3.7461195,3.7439082,300.77448,-50.5853286519243,-12.859737852434616,4703,"[[-50.53958581848684, -12.943849437552329], [-50.48861266972436, -12.86468699182728], [-50.53437988576237, -12.78053899280767], [-50.63107246894451, -12.77558286556432], [-50.68201788099113, -12.85473626611246], [-50.63629857643676, -12.938854840875123]]",77.78,22.22,High Suitability,#d32f2f,Very suitable – biochar highly recommended,Poor,1.0,Very Poor,0.0,Poor,1.0,Moderate,2.0,7.7780000000000005
85816487fffffff,3.6818376,3.6167588,0.20659126,5.18239,5.1853256,300.79846,-50.727713641641856,-12.770565762228838,4702,"[[-50.68201788099113, -12.85473626611246], [-50.63107246894451, -12.77558286556432], [-50.6767828689557, -12.691414077280854], [-50.773390380501446, -12.686428365768469], [-50.82430745727319, -12.765572296061755], [-50.778645486960244, -12.849711409956683]]",68.06,31.94,Moderate Suitability,#f57c00,Suitable – biochar recommended,Poor,1.0,Very Poor,0.0,Moderate,2.0,Moderate,2.0,6.806
8581648bfffffff,0.0,0.0,,0.0,0.0,,-50.437661180293055,-12.785460911446167,4709,"[[-50.39183608978752, -12.869612678862518], [-50.34084710407411, -12.790352478252949], [-50.38666166815994, -12.706175563161903], [-50.48341800037852, -12.70128776632577], [-50.53437988576237, -12.78053899280767], [-50.48861266972436, -12.86468699182728]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
