h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson
878b844b4ffffff,3.4782608,3.2391305,0.22943741,5.0869565,5.0891304,298.45395,-55.850116434782606,-13.164127,46,"[[-55.84033834481139, -13.180051448082729], [-55.833226305971394, -13.169111824845686], [-55.83944521277365, -13.157189824273935], [-55.8527748194449, -13.156208340445328], [-55.85988586650877, -13.167147647705361], [-55.853668298974654, -13.179068754795466]]"
878b844b5ffffff,3.0659342,3.087912,0.22962783,4.987912,5.0021977,298.46112,-55.866067087912086,-13.155444780219781,91,"[[-55.85988586650877, -13.167147647705361], [-55.8527748194449, -13.156208340445328], [-55.85899224004368, -13.144286388153668], [-55.872319367616, -13.143304637294051], [-55.879429421504945, -13.154243627469663], [-55.87321334129331, -13.166164685613769]]"
878b844b6ffffff,3.857143,3.7857144,0.23021413,4.942857,4.9500003,298.45172,-55.83318235714285,-13.152458642857143,14,"[[-55.81989422257337, -13.170093039165643], [-55.81278139403548, -13.159151044792097], [-55.819001638841435, -13.147228152088802], [-55.832333374479084, -13.146248145914898], [-55.83944521277365, -13.157189824273935], [-55.833226305971394, -13.169111824845686]]"
878b844c0ffffff,4.934066,4.934066,0.23368968,5.4835167,5.4846153,298.53885,-56.020384813186816,-13.006062846153847,91,"[[-56.014327879591534, -13.018190622350529], [-56.007225215650344, -13.007249796354126], [-56.01343042027739, -12.99532672639349], [-56.02673694014959, -12.994345380512481], [-56.03383860004988, -13.005285878260361], [-56.027634744412715, -13.017208050162115]]"
878b844c1ffffff,5.2473116,5.096774,0.23377608,5.4462366,5.452688,298.546,-56.0402278172043,-12.993659688172043,93,"[[-56.03383860004988, -13.005285878260361], [-56.02673694014959, -12.994345380512481], [-56.0329406501837, -12.982422396895444], [-56.04624467031809, -12.98144080976575], [-56.05334532479336, -12.992380978156469], [-56.04714296485274, -13.004303063058384]]"
878b844c2ffffff,7.065934,7.032967,0.23463506,5.547253,5.5527472,298.53592,-56.00022207692308,-12.996314593406593,91,"[[-55.99391619838237, -13.008230898520042], [-55.98681273125407, -12.997287705748233], [-55.993019283621635, -12.985363739079189], [-56.00632795567117, -12.98438386191456], [-56.01343042027739, -12.99532672639349], [-56.007225215650344, -13.007249796354126]]"
878b844c3ffffff,5.375,5.306818,0.23479028,5.5079546,5.519318,298.54318,-56.01960463636363,-12.98315690909091,88,"[[-56.01343042027739, -12.99532672639349], [-56.00632795567117, -12.98438386191456], [-56.01253301455112, -12.972459980932738], [-56.02583918948527, -12.971479861818835], [-56.0329406501837, -12.982422396895444], [-56.02673694014959, -12.994345380512481]]"
878b844c4ffffff,4.2765956,4.43617,0.23256017,5.224468,5.2287235,298.53458,-56.0213780212766,-13.029394244680852,94,"[[-56.01522539249793, -13.041051662039234], [-56.00812252921409, -13.030112877677], [-56.014327879591534, -13.018190622350529], [-56.027634744412715, -13.017208050162115], [-56.034736603522525, -13.028146507429058], [-56.02853260227902, -13.04006786400416]]"
878b844c5ffffff,4.888889,4.866667,0.23267938,5.418889,5.427778,298.54196,-56.04094984444445,-13.016463733333334,90,"[[-56.034736603522525, -13.028146507429058], [-56.027634744412715, -13.017208050162115], [-56.03383860004988, -13.005285878260361], [-56.04714296485274, -13.004303063058384], [-56.05424381840432, -13.01524119212217], [-56.048041313004745, -13.027162464615548]]"
878b844c6ffffff,4.449438,4.6292133,0.23354872,5.266292,5.264045,298.53146,-56.00111356179775,-13.018846921348315,89,"[[-55.99481316671672, -13.031095204384487], [-55.98770950012039, -13.020154051248243], [-55.99391619838237, -13.008230898520042], [-56.007225215650344, -13.007249796354126], [-56.014327879591534, -13.018190622350529], [-56.00812252921409, -13.030112877677]]"
878b844c8ffffff,4.568182,4.6363635,0.23498327,5.2920456,5.3011365,298.55664,-56.05859970454546,-12.957815193181819,88,"[[-56.05244688480304, -12.96951791606722], [-56.04534642939646, -12.958575711502341], [-56.051548498429, -12.946652012621309], [-56.06484967210988, -12.945671417004196], [-56.071949120842135, -12.956613289947983], [-56.06574840286092, -12.968536090154196]]"
878b844c9ffffff,6.8913045,6.619565,0.23507299,5.3597827,5.3717394,298.5629,-56.07799075,-12.944698891304347,92,"[[-56.071949120842135, -12.956613289947983], [-56.06484967210988, -12.945671417004196], [-56.07105024478608, -12.933747814534497], [-56.08434891433574, -12.93276698436128], [-56.091447355012825, -12.943708524574665], [-56.085248134488126, -12.95563122771591]]"
878b844caffffff,4.9347825,4.8586955,0.23601225,5.4663043,5.4717393,298.55426,-56.03810356521739,-12.947310847826087,92,"[[-56.03204275391963, -12.959556070100046], [-56.02494149241542, -12.948611500850113], [-56.03114491125331, -12.936686904645242], [-56.044448242083476, -12.935707775038237], [-56.051548498429, -12.946652012621309], [-56.04534642939646, -12.958575711502341]]"
878b844cbffffff,4.6444445,4.4666667,0.23608282,5.2755556,5.2833333,298.56058,-56.05784314444444,-12.934816822222224,90,"[[-56.051548498429, -12.946652012621309], [-56.044448242083476, -12.935707775038237], [-56.05065016566688, -12.923783274590898], [-56.063950994981646, -12.922803909728387], [-56.07105024478608, -12.933747814534497], [-56.06484967210988, -12.945671417004196]]"
878b844ccffffff,5.448276,5.3448277,0.23388788,5.327586,5.3333335,298.5528,-56.05948148275862,-12.980591367816093,87,"[[-56.05334532479336, -12.992380978156469], [-56.04624467031809, -12.98144080976575], [-56.05244688480304, -12.96951791606722], [-56.06574840286092, -12.968536090154196], [-56.072848050528606, -12.979475928079152], [-56.06664718723909, -12.991397922407256]]"
878b844cdffffff,7.0,6.597826,0.23398997,5.3152175,5.316304,298.55936,-56.07891835869565,-12.967205510869565,92,"[[-56.072848050528606, -12.979475928079152], [-56.06574840286092, -12.968536090154196], [-56.071949120842135, -12.956613289947983], [-56.085248134488126, -12.95563122771591], [-56.092346773967336, -12.966570734066535], [-56.086147408281775, -12.978492634247933]]"
878b844ceffffff,6.6526318,6.610526,0.23489946,5.4526315,5.4610524,298.55008,-56.039117757894736,-12.970431610526315,95,"[[-56.0329406501837, -12.982422396895444], [-56.02583918948527, -12.971479861818835], [-56.03204275391963, -12.959556070100046], [-56.04534642939646, -12.958575711502341], [-56.05244688480304, -12.96951791606722], [-56.04624467031809, -12.98144080976575]]"
878b844d0ffffff,3.5,3.6222222,0.23539938,5.2733335,5.27,298.52573,-55.96015141111111,-12.998971444444445,90,"[[-55.95397986029779, -13.0111707731418], [-55.946874592015, -13.000224888326484], [-55.95308398229142, -12.988299944847652], [-55.966397295764615, -12.987321780907696], [-55.97350156443443, -12.99826733849706], [-55.96729351953892, -13.010191387276377]]"
878b844d1ffffff,7.788889,7.677778,0.23557216,5.4522223,5.457778,298.53323,-55.97966474444444,-12.986395088888889,90,"[[-55.97350156443443, -12.99826733849706], [-55.966397295764615, -12.987321780907696], [-55.97260519462176, -12.975396918881698], [-55.98591601595368, -12.974418509826073], [-55.993019283621635, -12.985363739079189], [-55.98681273125407, -12.997287705748233]]"
878b844d2ffffff,3.7222223,3.5777779,0.2362545,5.287778,5.286667,298.52325,-55.93988933333333,-12.989514233333333,90,"[[-55.933558788752336, -13.001202804683063], [-55.92645272209823, -12.990254556970266], [-55.93266345650132, -12.978328720144477], [-55.94597891372708, -12.97735202440237], [-55.95308398229142, -12.988299944847652], [-55.946874592015, -13.000224888326484]]"
878b844d3ffffff,3.460674,3.3820224,0.23648703,5.3606744,5.3595505,298.53088,-55.95932684269663,-12.976252617977527,89,"[[-55.95308398229142, -12.988299944847652], [-55.94597891372708, -12.97735202440237], [-55.95218815782121, -12.965426268371806], [-55.96550112553756, -12.964449326815016], [-55.97260519462176, -12.975396918881698], [-55.966397295764615, -12.987321780907696]]"
878b844d4ffffff,3.7472527,3.5714285,0.23428813,5.3681316,5.3560443,298.5206,-55.961179989010986,-13.022030252747252,91,"[[-55.954875791844756, -13.034038746482421], [-55.94777032383576, -13.023094900453357], [-55.95397986029779, -13.0111707731418], [-55.96729351953892, -13.010191387276377], [-55.97439798780202, -13.021134907231572], [-55.96818979686481, -13.033058139150226]]"
878b844d5ffffff,5.2391305,5.2173915,0.23446734,5.286957,5.280435,298.52835,-55.980640619565214,-13.009338467391304,92,"[[-55.97439798780202, -13.021134907231572], [-55.96729351953892, -13.010191387276377], [-55.97350156443443, -12.99826733849706], [-55.98681273125407, -12.997287705748233], [-55.99391619838237, -13.008230898520042], [-55.98770950012039, -13.020154051248243]]"
878b844d6ffffff,4.188889,4.3333335,0.23516609,5.1822224,5.1755557,298.51785,-55.94078766666667,-13.012221666666667,90,"[[-55.934454174525115, -13.024074036966729], [-55.92734790801974, -13.013127826035792], [-55.933558788752336, -13.001202804683063], [-55.946874592015, -13.000224888326484], [-55.95397986029779, -13.0111707731418], [-55.94777032383576, -13.023094900453357]]"
878b844d8ffffff,6.2580647,6.139785,0.23681995,5.506451,5.508602,298.54523,-55.99842715053764,-12.950796623655913,93,"[[-55.99212242243013, -12.962493732830744], [-55.98501935421484, -12.951546470253733], [-55.991225614803525, -12.939620886548816], [-56.00453359644913, -12.938643460761853], [-56.01163566240837, -12.949590392738193], [-56.00543074927222, -12.961515081126109]]"
878b844d9ffffff,6.1573033,5.988764,0.23695937,5.449438,5.4561796,298.55197,-56.01791915730337,-12.937897584269662,89,"[[-56.01163566240837, -12.949590392738193], [-56.00453359644913, -12.938643460761853], [-56.01073836384477, -12.926717968585095], [-56.024043848935676, -12.925740304380534], [-56.03114491125331, -12.936686904645242], [-56.02494149241542, -12.948611500850113]]"
878b844daffffff,4.6630435,4.554348,0.23778063,5.4108696,5.4119563,298.54327,-55.97785780434783,-12.940256108695653,92,"[[-55.97170887835965, -12.952523655158464], [-55.96460500885336, -12.941574031774492], [-55.970812615643744, -12.929647554105642], [-55.984122746033236, -12.928671593808495], [-55.991225614803525, -12.939620886548816], [-55.98501935421484, -12.951546470253733]]"
878b844dbffffff,4.0,3.8681319,0.23792693,5.279121,5.2780223,298.55002,-55.99753207692307,-12.92763301098901,91,"[[-55.991225614803525, -12.939620886548816], [-55.984122746033236, -12.928671593808495], [-55.99032886073745, -12.916745207012811], [-56.00363649719754, -12.9157690076002], [-56.01073836384477, -12.926717968585095], [-56.00453359644913, -12.938643460761853]]"
878b844dcffffff,7.252747,7.1538463,0.2357187,5.667033,5.6703296,298.54047,-55.999308956043954,-12.973782758241759,91,"[[-55.993019283621635, -12.985363739079189], [-55.98591601595368, -12.974418509826073], [-55.99212242243013, -12.962493732830744], [-56.00543074927222, -12.961515081126109], [-56.01253301455112, -12.972459980932738], [-56.00632795567117, -12.98438386191456]]"
878b844ddffffff,4.5113635,4.4204545,0.23587966,5.321591,5.330682,298.54755,-56.01868590909091,-12.960494829545455,88,"[[-56.01253301455112, -12.972459980932738], [-56.00543074927222, -12.961515081126109], [-56.01163566240837, -12.949590392738193], [-56.02494149241542, -12.948611500850113], [-56.03204275391963, -12.959556070100046], [-56.02583918948527, -12.971479861818835]]"
878b844deffffff,7.7311826,7.677419,0.23668076,5.5462365,5.5430107,298.5382,-55.9786255483871,-12.963329483870966,93,"[[-55.97260519462176, -12.975396918881698], [-55.96550112553756, -12.964449326815016], [-55.97170887835965, -12.952523655158464], [-55.98501935421484, -12.951546470253733], [-55.99212242243013, -12.962493732830744], [-55.98591601595368, -12.974418509826073]]"
878b844e0ffffff,4.388889,4.3444443,0.23048761,5.2322226,5.2344446,298.53452,-56.042746466666664,-13.06162897777778,90,"[[-56.03653277130464, -13.073859182141444], [-56.029430513752885, -13.06292481528035], [-56.035634660606, -13.051004277641129], [-56.048939714778506, -13.050019007677818], [-56.056040966505584, -13.060953048642038], [-56.04983817017834, -13.072872685491117]]"
878b844e1ffffff,5.571429,5.571429,0.23057674,5.324176,5.3329673,298.54187,-56.06224041758242,-13.048979637362638,91,"[[-56.056040966505584, -13.060953048642038], [-56.048939714778506, -13.050019007677818], [-56.05514236564028, -13.038098551202777], [-56.06844491689436, -13.037113037164378], [-56.07554516141402, -13.048046751125382], [-56.06934386218015, -13.059966306152692]]"
878b844e2ffffff,4.1,4.1555557,0.23144487,5.285556,5.2844443,298.5305,-56.022284822222225,-13.052396333333334,90,"[[-56.016122959000924, -13.06390983870033], [-56.009019896366794, -13.052973099120749], [-56.01522539249793, -13.041051662039234], [-56.02853260227902, -13.04006786400416], [-56.035634660606, -13.051004277641129], [-56.029430513752885, -13.06292481528035]]"
878b844e3ffffff,4.2222223,4.211111,0.23157933,5.404444,5.4033337,298.53815,-56.041848155555556,-13.039171066666666,90,"[[-56.035634660606, -13.051004277641129], [-56.02853260227902, -13.04006786400416], [-56.034736603522525, -13.028146507429058], [-56.048041313004745, -13.027162464615548], [-56.05514236564028, -13.038098551202777], [-56.048939714778506, -13.050019007677818]]"
878b844e4ffffff,4.2021275,4.06383,0.2293621,5.237234,5.230851,298.53094,-56.04366867021276,-13.084702734042553,94,"[[-56.03743093562283, -13.096711214180289], [-56.03032847883863, -13.085778897237745], [-56.03653277130464, -13.073859182141444], [-56.04983817017834, -13.072872685491117], [-56.05693962100461, -13.083804677689058], [-56.050736679208626, -13.095723491306723]]"
878b844e5ffffff,4.340659,4.3626375,0.22945006,5.195605,5.201099,298.5385,-56.06330161538461,-13.072029747252747,91,"[[-56.05693962100461, -13.083804677689058], [-56.04983817017834, -13.072872685491117], [-56.056040966505584, -13.060953048642038], [-56.06934386218015, -13.059966306152692], [-56.07644430566568, -13.070897972500463], [-56.07024286111052, -13.08281670721255]]"
878b844e6ffffff,4.4555554,4.4333334,0.2303495,5.2755556,5.278889,298.52667,-56.02318315555555,-13.074904033333334,90,"[[-56.01702057910487, -13.086765145579877], [-56.00991731711279, -13.07583045392825], [-56.016122959000924, -13.06390983870033], [-56.029430513752885, -13.06292481528035], [-56.03653277130464, -13.073859182141444], [-56.03032847883863, -13.085778897237745]]"
878b844e8ffffff,6.2173915,5.978261,0.23177366,5.328261,5.330435,298.5523,-56.08077356521739,-13.01309775,92,"[[-56.07464607081019, -13.025192665427895], [-56.067546025248795, -13.014256906997492], [-56.073747033849834, -13.002335722160018], [-56.08704673572101, -13.001351197190365], [-56.09414577282723, -13.012286626356891], [-56.087946116810215, -13.024206909781544]]"
878b844e9ffffff,5.2222223,5.3333335,0.23180343,5.348889,5.347778,298.55884,-56.10051314444445,-13.00071817777778,90,"[[-56.09414577282723, -13.012286626356891], [-56.08704673572101, -13.001351197190365], [-56.09324624657069, -12.989430103581878], [-56.10654344113635, -12.988445341232362], [-56.11364146840796, -12.999380440028025], [-56.10744331124091, -13.011300631568686]]"
878b844eaffffff,6.0,5.9325843,0.2327966,5.289888,5.2932587,298.54907,-56.060387292134834,-13.003202022471909,89,"[[-56.05424381840432, -13.01524119212217], [-56.04714296485274, -13.004303063058384], [-56.05334532479336, -12.992380978156469], [-56.06664718723909, -12.991397922407256], [-56.073747033849834, -13.002335722160018], [-56.067546025248795, -13.014256906997492]]"
878b844ebffffff,6.354839,6.0752687,0.23288755,5.3688173,5.370968,298.5558,-56.07980684946237,-12.990085741935484,93,"[[-56.073747033849834, -13.002335722160018], [-56.06664718723909, -12.991397922407256], [-56.072848050528606, -12.979475928079152], [-56.086147408281775, -12.978492634247933], [-56.09324624657069, -12.989430103581878], [-56.08704673572101, -13.001351197190365]]"
878b844ecffffff,5.7826085,5.7826085,0.23064895,5.2902174,5.294565,298.54892,-56.08170117391304,-13.03628795652174,92,"[[-56.07554516141402, -13.048046751125382], [-56.06844491689436, -13.037113037164378], [-56.07464607081019, -13.025192665427895], [-56.087946116810215, -13.024206909781544], [-56.09504535274134, -13.035140295633065], [-56.08884555155374, -13.04705976526512]]"
878b844edffffff,4.6923075,4.8131866,0.23071502,5.224176,5.2263737,298.5557,-56.101282593406594,-13.023264208791208,91,"[[-56.09504535274134, -13.035140295633065], [-56.087946116810215, -13.024206909781544], [-56.09414577282723, -13.012286626356891], [-56.10744331124091, -13.011300631568686], [-56.11454153720397, -13.022233688204473], [-56.10834323501381, -13.034153068868925]]"
878b844eeffffff,5.2222223,5.1,0.23169915,5.4377775,5.4422226,298.5454,-56.06121186666667,-13.025921033333333,90,"[[-56.05514236564028, -13.038098551202777], [-56.048041313004745, -13.027162464615548], [-56.05424381840432, -13.01524119212217], [-56.067546025248795, -13.014256906997492], [-56.07464607081019, -13.025192665427895], [-56.06844491689436, -13.037113037164378]]"
878b844f0ffffff,3.6195652,3.5108695,0.23227322,5.2,5.196739,298.519,-55.98234940217392,-13.054791315217392,92,"[[-55.97619099521944, -13.066861464992757], [-55.96908612774665, -13.05592202976376], [-55.975294464728904, -13.043999618317573], [-55.98860632255701, -13.043017539559466], [-55.995710188629026, -13.053956649909066], [-55.989503198568286, -13.065878163920592]]"
878b844f1ffffff,4.088889,4.3444443,0.23244071,5.111111,5.111111,298.527,-56.00184813333333,-13.041841077777779,90,"[[-55.995710188629026, -13.053956649909066], [-55.98860632255701, -13.043017539559466], [-55.99481316671672, -13.031095204384487], [-56.00812252921409, -13.030112877677], [-56.01522539249793, -13.041051662039234], [-56.009019896366794, -13.052973099120749]]"
878b844f2ffffff,5.1,4.911111,0.23317277,5.427778,5.4211116,298.5156,-55.96212271111111,-13.045134922222223,90,"[[-55.95577177693661, -13.056903858103], [-55.948666109193724, -13.045962054013305], [-55.954875791844756, -13.034038746482421], [-55.96818979686481, -13.033058139150226], [-55.975294464728904, -13.043999618317573], [-55.96908612774665, -13.05592202976376]]"
878b844f3ffffff,4.065934,4.087912,0.23336074,5.468132,5.464835,298.5236,-55.98156475824176,-13.03227197802198,91,"[[-55.975294464728904, -13.043999618317573], [-55.96818979686481, -13.033058139150226], [-55.97439798780202, -13.021134907231572], [-55.98770950012039, -13.020154051248243], [-55.99481316671672, -13.031095204384487], [-55.98860632255701, -13.043017539559466]]"
878b844f4ffffff,4.402174,4.2934785,0.23116778,5.0652175,5.061957,298.51462,-55.983277021739134,-13.07754204347826,92,"[[-55.97708757927797, -13.089720440500141], [-55.969982512188814, -13.07878305235683], [-55.97619099521944, -13.066861464992757], [-55.989503198568286, -13.065878163920592], [-55.99660726412368, -13.076815228335644], [-55.990400128158576, -13.088735917575663]]"
878b844f5ffffff,4.688889,4.8777776,0.23132329,5.016667,5.017778,298.52274,-56.00279634444444,-13.064847944444445,90,"[[-55.99660726412368, -13.076815228335644], [-55.989503198568286, -13.065878163920592], [-55.995710188629026, -13.053956649909066], [-56.009019896366794, -13.052973099120749], [-56.016122959000924, -13.06390983870033], [-56.00991731711279, -13.07583045392825]]"
878b844f6ffffff,5.643678,5.5632186,0.23205975,5.3689656,5.3689656,298.5107,-55.9629126091954,-13.068177034482758,87,"[[-55.95666781557774, -13.079766101242393], [-55.949561948093255, -13.068826342241993], [-55.95577177693661, -13.056903858103], [-55.96908612774665, -13.05592202976376], [-55.97619099521944, -13.066861464992757], [-55.969982512188814, -13.07878305235683]]"
878b84552ffffff,3.75,3.75,0.22226499,5.175,5.175,298.5285,-56.084069,-13.2091645,4,"[[-56.08273981793293, -13.230775755050544], [-56.07563798147328, -13.21985850975549], [-56.08184029802434, -13.207944772539786], [-56.0951430974454, -13.206949188224844], [-56.102243924248945, -13.217866114624636], [-56.096042961580395, -13.229778944260314]]"
878b84553ffffff,4.1666665,4.4444447,0.22221234,4.9944444,5.0,298.53674,-56.105528722222225,-13.197873444444445,18,"[[-56.102243924248945, -13.217866114624636], [-56.0951430974454, -13.206949188224844], [-56.10134391491753, -13.195035516004546], [-56.114644204504266, -13.194039678451666], [-56.12174402027164, -13.204956284856125], [-56.11554455778094, -13.2168690488345]]"
878b84558ffffff,3.75,3.55,0.2222794,5.1850004,5.18,298.5502,-56.14223495,-13.174355199999999,20,"[[-56.14124010272169, -13.192046271791272], [-56.13414129936892, -13.18112998648221], [-56.140339115830976, -13.169216454972508], [-56.15363437876344, -13.16822011836054], [-56.160732168324785, -13.179136081474175], [-56.15453570903686, -13.19104870342092]]"
878b84559ffffff,3.0,3.0,0.22244303,5.2166667,5.2166667,298.55655,-56.160425833333335,-13.159570333333333,6,"[[-56.160732168324785, -13.179136081474175], [-56.15363437876344, -13.16822011836054], [-56.159830693297835, -13.156306662563841], [-56.17312343941701, -13.155310080128602], [-56.18022021381173, -13.166225719946809], [-56.174025257545274, -13.178138265521405]]"
878b8455affffff,4.097826,4.054348,0.22294258,5.0858693,5.0880437,298.5458,-56.126909760869566,-13.170058836956521,92,"[[-56.120843521946156, -13.182126074800408], [-56.11374390493083, -13.171207401165299], [-56.11994307732711, -13.159292961433101], [-56.133240511096616, -13.158298103584077], [-56.140339115830976, -13.169216454972508], [-56.13414129936892, -13.18112998648221]]"
878b8455bffffff,4.0430107,3.8924732,0.22295308,5.127957,5.132258,298.55276,-56.146721709677415,-13.15762635483871,93,"[[-56.140339115830976, -13.169216454972508], [-56.133240511096616, -13.158298103584077], [-56.139438182660676, -13.146383738905586], [-56.152733102221184, -13.145388634522904], [-56.159830693297835, -13.156306662563841], [-56.15363437876344, -13.16822011836054]]"
878b8455effffff,5.88,5.76,0.2222194,5.3760004,5.38,298.54364,-56.12408888,-13.186684399999999,25,"[[-56.12174402027164, -13.204956284856125], [-56.114644204504266, -13.194039678451666], [-56.120843521946156, -13.182126074800408], [-56.13414129936892, -13.18112998648221], [-56.14124010272169, -13.192046271791272], [-56.13504214135843, -13.203958966539632]]"
878b84588ffffff,4.2266665,4.0266666,0.22610712,5.2973337,5.294667,298.47214,-55.92885504,-13.205998226666667,75,"[[-55.92208558211626, -13.219846537572607], [-55.914976718629674, -13.208916418417738], [-55.9211902607889, -13.196997999863557], [-55.934511322420725, -13.19601059936157], [-55.94161918801439, -13.206940402699345], [-55.935406990164914, -13.21885792238115]]"
878b84589ffffff,4.4945054,4.5604396,0.22627006,5.2747254,5.27033,298.4809,-55.9477051978022,-13.194955857142856,91,"[[-55.94161918801439, -13.206940402699345], [-55.934511322420725, -13.19601059936157], [-55.94072337391042, -13.184092231750235], [-55.95404194586707, -13.183104567039381], [-55.96114881217521, -13.194034053455873], [-55.95493810610762, -13.205951521529487]]"
878b8458affffff,3.8461537,3.3589745,0.22691154,5.1217947,5.123077,298.4664,-55.908551987179486,-13.197259230769232,78,"[[-55.90165316968193, -13.20990355223355], [-55.89454350987539, -13.198971054135296], [-55.900758395086385, -13.187051738054947], [-55.91408159734825, -13.18606581762385], [-55.9211902607889, -13.196997999863557], [-55.914976718629674, -13.208916418417738]]"
878b8458bffffff,4.3186812,4.3076925,0.22715549,5.19011,5.1857142,298.47537,-55.92739437362638,-13.185034912087913,91,"[[-55.9211902607889, -13.196997999863557], [-55.91408159734825, -13.18606581762385], [-55.920294993003736, -13.174146551820886], [-55.93361570822984, -13.173160366474093], [-55.94072337391042, -13.184092231750235], [-55.934511322420725, -13.19601059936157]]"
878b8458dffffff,4.672727,4.7818184,0.225298,5.1127276,5.1054544,298.4787,-55.9500770909091,-13.213870836363636,55,"[[-55.94251505567939, -13.229785660650377], [-55.935406990164914, -13.21885792238115], [-55.94161918801439, -13.206940402699345], [-55.95493810610762, -13.205951521529487], [-55.96204517220362, -13.216878944024073], [-55.955834319920264, -13.228795563488259]]"
878b84599ffffff,4.3209877,4.6296296,0.22777717,5.0444446,5.0493827,298.4614,-55.888227975308645,-13.186644469135802,81,"[[-55.881217822940215, -13.199956707173323], [-55.87410736846723, -13.189021832077707], [-55.88032359547039, -13.177101619818393], [-55.89364893545082, -13.176117178858375], [-55.900758395086385, -13.187051738054947], [-55.89454350987539, -13.198971054135296]]"
878b8459bffffff,4.188406,4.3333335,0.22858952,4.9869566,4.9913044,298.45703,-55.86858723188406,-13.176251028985508,69,"[[-55.86077954645924, -13.190006004938608], [-55.853668298974654, -13.179068754795466], [-55.85988586650877, -13.167147647705361], [-55.87321334129331, -13.166164685613769], [-55.88032359547039, -13.177101619818393], [-55.87410736846723, -13.189021832077707]]"
878b8459dffffff,5.0,5.5,0.22706649,5.0,5.0,298.46045,-55.893177,-13.19962,2,"[[-55.88211210391882, -13.222808882799553], [-55.87500144914215, -13.211876069947754], [-55.881217822940215, -13.199956707173323], [-55.89454350987539, -13.198971054135296], [-55.90165316968193, -13.20990355223355], [-55.89543813781989, -13.221822018148206]]"
878b846a6ffffff,3.7272727,3.409091,0.23834315,5.1863637,5.1863637,298.59103,-56.148074,-12.831004818181817,22,"[[-56.14721568304244, -12.836393868010779], [-56.140120869959866, -12.825447260439036], [-56.146315013572995, -12.813521729281705], [-56.159602614457434, -12.812543705546055], [-56.166696414378265, -12.823489972470039], [-56.16050362686759, -12.83541460380135]]"
878b846b0ffffff,4.019608,3.7058823,0.24050118,5.1509805,5.1529417,298.5893,-56.11024784313726,-12.808676862745099,51,"[[-56.10644284985068, -12.81645244372924], [-56.09934641183806, -12.805501121253345], [-56.10554326394204, -12.793573794502846], [-56.11883520072465, -12.79259868737168], [-56.12593062859224, -12.803549669102479], [-56.11973513011415, -12.8154760987332]]"
878b846b2ffffff,3.84,3.6,0.24154004,5.098,5.1,298.58832,-56.09035716,-12.79852242,50,"[[-56.08605196766736, -12.806476007556636], [-56.07895471964359, -12.795522330575501], [-56.085152924132736, -12.783594108059821], [-56.098447024552726, -12.782620458313978], [-56.10554326394204, -12.793573794502846], [-56.09934641183806, -12.805501121253345]]"
878b846b4ffffff,4.2555556,4.022222,0.23952414,5.278889,5.28,298.58707,-56.11366347777778,-12.827592955555556,90,"[[-56.107342489396046, -12.839328297753818], [-56.10024585275257, -12.828378992164218], [-56.10644284985068, -12.81645244372924], [-56.11973513011415, -12.8154760987332], [-56.12683075647924, -12.826425064738043], [-56.12063511315117, -12.838350715347449]]"
878b846b5ffffff,4.076923,3.9230769,0.23944767,5.451282,5.4564104,298.5903,-56.12976207692307,-12.819045538461538,39,"[[-56.12683075647924, -12.826425064738043], [-56.11973513011415, -12.8154760987332], [-56.12593062859224, -12.803549669102479], [-56.13922039886201, -12.802573103973778], [-56.146315013572995, -12.813521729281705], [-56.140120869959866, -12.825447260439036]]"
878b846b6ffffff,4.5434785,4.228261,0.24059331,5.0815215,5.080435,298.5859,-56.09317416304348,-12.817225923913043,92,"[[-56.08695106482032, -12.829355114571444], [-56.079853618039984, -12.818403452463409], [-56.08605196766736, -12.806476007556636], [-56.09934641183806, -12.805501121253345], [-56.10644284985068, -12.81645244372924], [-56.10024585275257, -12.828378992164218]]"
878b84710ffffff,5.0,5.0,0.22890978,4.94,4.94,298.58652,-56.228472999999994,-12.978634600000001,5,"[[-56.23324046403354, -12.990483935706626], [-56.22614793095675, -12.979556957462265], [-56.23233736342503, -12.967638982552732], [-56.24561796750135, -12.966648894628054], [-56.25270948073095, -12.977575538233317], [-56.246521410021245, -12.989492604427408]]"
878b84712ffffff,5.5833335,5.4166665,0.22969095,5.1488094,5.1464286,298.58575,-56.21814795238095,-12.96913280952381,84,"[[-56.21286480249847, -12.980546819966623], [-56.20577144898102, -12.969617465522337], [-56.21196224197664, -12.957698583241958], [-56.22524502825259, -12.956709962801638], [-56.23233736342503, -12.967638982552732], [-56.22614793095675, -12.979556957462265]]"
878b84714ffffff,4.0,4.0,0.22779262,5.2999997,5.2999997,298.5846,-56.22892199999999,-13.001990999999999,3,"[[-56.23414361840979, -13.013326043610626], [-56.22705088742117, -13.00240111001504], [-56.23324046403354, -12.990483935706626], [-56.246521410021245, -12.989492604427408], [-56.25361312102871, -13.00041720454265], [-56.247424906319466, -13.012333469442636]]"
