h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson
878b84475ffffff,3.8586957,3.652174,0.22409162,5.1163044,5.1119566,298.55432,-56.14575497826087,-13.134614445652174,92,"[[-56.139438182660676, -13.146383738905586], [-56.132339776537165, -13.135463324561067], [-56.138537303206434, -13.12354813030852], [-56.151831879405705, -13.122554258624984], [-56.15892927200519, -13.133474348469386], [-56.152733102221184, -13.145388634522904]]"
878b84476ffffff,4.550562,4.47191,0.22511898,5.55618,5.565169,298.54233,-56.10578250561798,-13.137722314606743,89,"[[-56.09954405732761, -13.149365603356756], [-56.09244382715817, -13.13844248118296], [-56.09864420906039, -13.126526302765734], [-56.11194346687619, -13.125534152745857], [-56.11904268641015, -13.136456951471024], [-56.11284365905625, -13.14837222369003]]"
878b84480ffffff,4.7526884,4.9892473,0.23215745,5.0698924,5.068817,298.4813,-55.88408522580645,-13.096796967741936,93,"[[-55.87764123406978, -13.108518954757411], [-55.870531580733726, -13.097575862066671], [-55.87674722059131, -13.085652287890687], [-55.890071172864516, -13.084672699869468], [-55.89717983189378, -13.095615472073272], [-55.89096553325302, -13.10753815280947]]"
878b84481ffffff,3.8876405,3.6179776,0.23245543,5.367416,5.367416,298.49008,-55.90338393258427,-13.083873786516854,89,"[[-55.89717983189378, -13.095615472073272], [-55.890071172864516, -13.084672699869468], [-55.896285324871194, -13.072749186982037], [-55.909606793870815, -13.071769340425021], [-55.9167144571979, -13.08271179103298], [-55.910501647523574, -13.094634409818045]]"
878b84482ffffff,3.9673913,4.097826,0.23296934,5.031522,5.0402174,298.47833,-55.86332258695653,-13.086232315217392,92,"[[-55.857205147552314, -13.098555189078336], [-55.85009470170384, -13.087609729324182], [-55.85631168151726, -13.075685263059903], [-55.86963776752006, -13.074707148662192], [-55.87674722059131, -13.085652287890687], [-55.870531580733726, -13.097575862066671]]"
878b84483ffffff,5.120879,5.3076925,0.23327672,4.938462,4.934066,298.4871,-55.882996956043954,-13.073609208791208,91,"[[-55.87674722059131, -13.085652287890687], [-55.86963776752006, -13.074707148662192], [-55.87585326059978, -13.062782743023742], [-55.8891768659741, -13.061804369388923], [-55.896285324871194, -13.072749186982037], [-55.890071172864516, -13.084672699869468]]"
878b84484ffffff,5.304348,5.630435,0.23104423,4.823913,4.829348,298.47568,-55.884852978260874,-13.119870293478261,92,"[[-55.878535301039534, -13.131382736867433], [-55.87142544743092, -13.120441693862055], [-55.87764123406978, -13.108518954757411], [-55.89096553325302, -13.10753815280947], [-55.898074392422224, -13.118478876475768], [-55.891859947144, -13.130400721453455]]"
878b84485ffffff,3.8735633,3.954023,0.23136128,4.973563,4.974713,298.48477,-55.90428972413793,-13.106484528735631,87,"[[-55.898074392422224, -13.118478876475768], [-55.89096553325302, -13.10753815280947], [-55.89717983189378, -13.095615472073272], [-55.910501647523574, -13.094634409818045], [-55.91760951085787, -13.105574813037137], [-55.911396554693326, -13.11749659898303]]"
878b84486ffffff,3.606383,3.4468086,0.2318638,5.074468,5.0734043,298.47232,-55.86419671276596,-13.109239191489362,94,"[[-55.85809866705966, -13.121422233028033], [-55.850988020813865, -13.11047882095928], [-55.857205147552314, -13.098555189078336], [-55.870531580733726, -13.097575862066671], [-55.87764123406978, -13.108518954757411], [-55.87142544743092, -13.120441693862055]]"
878b84488ffffff,3.8481014,3.886076,0.23387013,5.265823,5.267089,298.5044,-55.92201687341772,-13.047134025316456,79,"[[-55.915819457058305, -13.059845892408662], [-55.90871199373071, -13.048901397560607], [-55.91492451043473, -13.03697712392302], [-55.92824314745965, -13.035998239231397], [-55.935349613824, -13.046942410224771], [-55.92913844042232, -13.058865789788584]]"
