municipality_with_state,municipality_name,state_abbrev,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Tree cotton (seed cotton) (ton),Residue tree cotton (seed cotton) (ton),Upland cotton (seed cotton) (ha),Upland cotton (seed cotton) (ton),Residue upland cotton (seed cotton) (ton),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Rice (paddy) (ton),Residue rice (paddy) (ton),Oats (grain) (ha),Oats (grain) (ton),Residue oats (grain) (ton),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),Coffee (green) total (ton),Residue coffee (green) total (ton),"Coffee (Arabica, green) (ha)","Coffee (Arabica, green) (ton)","Residue coffee (Arabica, green) (ton)","Coffee (Canephora/Robusta, green) (ha)","Coffee (Canephora/Robusta, green) (ton)","Residue coffee (Canephora/Robusta, green) (ton)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Rye (grain) (ton),Barley (grain) (ha),Barley (grain) (ton),Residue barley (grain) (ton),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Corn (grain) (ton),Residue corn (grain) (ton),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Soybean (grain) (ton),Residue soybean (grain) (ton),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Wheat (grain) (ton),Residue wheat (grain) (ton),Triticale (grain) (ha),Triticale (grain) (ton),Residue triticale (grain) (ton),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha)
Itariri (SP),Itariri,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,2800.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,0.0,0.0,,50.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,
Itatiba (SP),Itatiba,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,11.0,,,,,,160.0,297.504,53.55072,160.0,297.504,53.55072,,0.0,0.0,,90.0,,174.0,,,,0.0,,0.0,0.0,,,,,,,25.0,27.0,,,6.0,,,4.0,,,,,,,60.0,10.0,1.0,,,,1877.0,11098.7899,6354.470509,,15.0,,26.0,,,,215.0,736.4433585,498.6961411,,10.0,7.0,,0.0,0.0,,0.0,0.0,,,150.0
Itatinga (SP),Itatinga,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,20.0,37.188,6.69384,20.0,37.188,6.69384,,0.0,0.0,,6100.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,2785.0,,,,,,,28.0,,,,,,1920.0,11353.05093,6500.04442,,,,,,,,1350.0,4624.179228,3131.347862,2000.0,,,,0.0,0.0,,0.0,0.0,,,
Itirapina (SP),Itirapina,SP,,,,,0.0,0.0,,0.0,0.0,,85.0,,0.0,0.0,,0.0,0.0,,,,,,,,110.0,204.534,36.81612,110.0,204.534,36.81612,,0.0,0.0,,6406.0,,,,,,0.0,,0.0,0.0,,,,,,,2.0,,,,,,,300.0,40.0,,,,,,3.0,,4.0,,,,380.0,2246.957997,1286.467125,,,,,,,,300.0,1027.595384,695.8550805,,,,,0.0,0.0,,0.0,0.0,,,
Itirapuã (SP),Itirapuã,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,32.0,,,,,,4000.0,7437.6,1338.768,4000.0,7437.6,1338.768,,0.0,0.0,,800.0,,,,,,0.0,,0.0,0.0,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,200.0,1182.609472,677.0879605,,4.0,,,,,,150.0,513.797692,347.9275403,,,,,0.0,0.0,,0.0,0.0,,,
Itobi (SP),Itobi,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,500.0,,,,200.0,371.88,66.9384,200.0,371.88,66.9384,,0.0,0.0,,500.0,,,,200.0,,0.0,,0.0,0.0,,,,,,,120.0,,,,,,,16.0,4.0,,,,3.0,,35.0,10.0,,,,,1745.0,10318.26765,5907.592455,,,,,,,,1200.0,4110.381536,2783.420322,300.0,,,100.0,232.1166573,385.313651,,0.0,0.0,,,17.0
Itu (SP),Itu,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,3.0,,,,,,68.0,126.4392,22.759056,68.0,126.4392,22.759056,,0.0,0.0,,1200.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,30.0,,,,2.0,,,,,,10.0,,,,,,400.0,2365.218945,1354.175921,,,,,,,,400.0,1370.127179,927.8067741,,,,,0.0,0.0,,0.0,0.0,,,5.0
Itupeva (SP),Itupeva,SP,,,,,0.0,0.0,,0.0,0.0,,1.0,,0.0,0.0,,0.0,0.0,,2.0,,,,,,4.0,7.4376,1.338768,4.0,7.4376,1.338768,,0.0,0.0,,63.0,,20.0,,,,0.0,,0.0,0.0,,,,,,,10.0,20.0,,,18.0,,,30.0,3.0,,,,,,90.0,5.0,3.0,,,,1404.0,8301.918495,4753.157482,,,,18.0,,,,50.0,171.2658973,115.9758468,10.0,2.0,30.0,,0.0,0.0,,0.0,0.0,,,380.0
Ituverava (SP),Ituverava,SP,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,4.0,,,313.0,581.9922,104.758596,313.0,581.9922,104.758596,,0.0,0.0,,40196.0,,,,,,0.0,,0.0,0.0,,,,,,,63.0,,,,,,,,,,,,,,,1.0,,,,,1455.0,8603.483911,4925.814912,,,,,,,,8617.0,29515.96474,19987.27743,1329.0,,,,0.0,0.0,,0.0,0.0,,,6.0
Jaborandi (SP),Jaborandi,SP,,,,,0.0,0.0,,0.0,0.0,,1550.0,,0.0,0.0,,0.0,0.0,,,,,260.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,18800.0,,,,,,0.0,,0.0,0.0,,,,,,,155.0,,,,,,,45.0,,,,,,,,,,,,,660.0,3902.611259,2234.39027,,,,,,,,1395.0,4778.318535,3235.726125,,40.0,,,0.0,0.0,,0.0,0.0,,,
