municipality_with_state,municipality_name,state_abbrev,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Tree cotton (seed cotton) (ton),Residue tree cotton (seed cotton) (ton),Upland cotton (seed cotton) (ha),Upland cotton (seed cotton) (ton),Residue upland cotton (seed cotton) (ton),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Rice (paddy) (ton),Residue rice (paddy) (ton),Oats (grain) (ha),Oats (grain) (ton),Residue oats (grain) (ton),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),Coffee (green) total (ton),Residue coffee (green) total (ton),"Coffee (Arabica, green) (ha)","Coffee (Arabica, green) (ton)","Residue coffee (Arabica, green) (ton)","Coffee (Canephora/Robusta, green) (ha)","Coffee (Canephora/Robusta, green) (ton)","Residue coffee (Canephora/Robusta, green) (ton)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Rye (grain) (ton),Barley (grain) (ha),Barley (grain) (ton),Residue barley (grain) (ton),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Corn (grain) (ton),Residue corn (grain) (ton),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Soybean (grain) (ton),Residue soybean (grain) (ton),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Wheat (grain) (ton),Residue wheat (grain) (ton),Triticale (grain) (ha),Triticale (grain) (ton),Residue triticale (grain) (ton),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha)
Alta Floresta D'Oeste (RO),Alta Floresta D'Oeste,RO,5.0,5.0,,,0.0,0.0,,0.0,0.0,,,135.0,936.4804437,426.0517779,,0.0,0.0,,146.0,,,,,57.0,4055.0,7539.867,1357.17606,,0.0,0.0,4055.0,7539.867,1357.17606,,5.0,,,,,,0.0,,0.0,0.0,,5.0,,,,,850.0,,,,3.0,,,5.0,9.0,,,,4.0,,330.0,,6.0,,12.0,,1850.0,10939.13762,6263.063634,,,,,1.0,,,1697.0,5812.764555,3936.220239,,,7.0,,0.0,0.0,,0.0,0.0,,3.0,
Ariquemes (RO),Ariquemes,RO,20.0,6.0,,,0.0,0.0,,0.0,0.0,,,375.0,2601.334566,1183.477161,,0.0,0.0,,185.0,,,,,275.0,370.0,687.978,123.83604,,0.0,0.0,370.0,687.978,123.83604,,25.0,,,,,,0.0,,0.0,0.0,,6.0,,,,,3.0,,,,4.0,2.0,,8.0,8.0,,,,4.0,,115.0,,18.0,,23.0,,7881.0,46600.72626,26680.65108,,,,,,,,15980.0,54736.58078,37065.88062,,,4.0,,0.0,0.0,,0.0,0.0,,30.0,
Cabixi (RO),Cabixi,RO,2.0,,,,0.0,0.0,,0.0,0.0,,1.0,1200.0,8324.270611,3787.126914,,0.0,0.0,,34.0,,,,,9.0,24.0,44.6256,8.032608,,0.0,0.0,24.0,44.6256,8.032608,,6.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,22.0,,1.0,,20.0,,21470.0,126953.1268,72685.39256,,,,,,,,32000.0,109610.1743,74224.54192,,2.0,,,0.0,0.0,,0.0,0.0,,100.0,
Cacoal (RO),Cacoal,RO,85.0,,,,0.0,0.0,,0.0,0.0,,2.0,150.0,1040.533826,473.3908643,,0.0,0.0,,450.0,,,,,105.0,4990.0,9278.406,1670.11308,,0.0,0.0,4990.0,9278.406,1670.11308,,26.0,,,,,,0.0,,0.0,0.0,,8.0,,,,,30.0,,,,12.0,3.0,,55.0,38.0,,,,115.0,,190.0,,11.0,,26.0,,3145.0,18596.53395,10647.20818,,,,,6.0,,,6411.0,21959.71335,14870.42307,,5.0,3.0,,0.0,0.0,,0.0,0.0,,2.0,
Cerejeiras (RO),Cerejeiras,RO,30.0,,,,0.0,0.0,,0.0,0.0,,1.0,800.0,5549.513741,2524.751276,,0.0,0.0,,15.0,,,,,4.0,29.0,53.9226,9.706068,,0.0,0.0,29.0,53.9226,9.706068,,20.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,3.0,,,,,,,,2.0,,,,1.0,,110.0,,1.0,,2.0,,26510.0,156754.8856,89748.00916,,,,,,,,40000.0,137012.7179,92780.67741,50.0,,15.0,,0.0,0.0,,0.0,0.0,,20.0,
Colorado do Oeste (RO),Colorado do Oeste,RO,11.0,,,,0.0,0.0,,0.0,0.0,,4.0,29.0,201.1698731,91.52223377,,0.0,0.0,,60.0,,,,,40.0,35.0,65.079,11.71422,,0.0,0.0,35.0,65.079,11.71422,,2.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,3.0,,,,3.0,,,1.0,2.0,,,,2.0,,156.0,,2.0,,3.0,,1880.0,11116.52904,6364.626828,,,,,,,,2310.0,7912.484456,5358.08412,,,1.0,,0.0,0.0,,0.0,0.0,,10.0,
Corumbiara (RO),Corumbiara,RO,15.0,,,,0.0,0.0,,0.0,0.0,,1.0,1700.0,11792.7167,5365.096462,,0.0,0.0,,23.0,1.0,,,,4.0,25.0,46.485,8.3673,,0.0,0.0,25.0,46.485,8.3673,,20.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,15.0,,,,3.0,,,2.0,1.0,,,,1.0,,145.0,,3.0,,1.0,,33020.0,195248.8239,111787.2223,,,,,,,,54743.0,187512.1803,126977.3156,,2.0,2.0,,0.0,0.0,,0.0,0.0,,5.0,
Costa Marques (RO),Costa Marques,RO,17.0,5.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,64.0,,,,,5.0,185.0,343.989,61.91802,,0.0,0.0,185.0,343.989,61.91802,,5.0,,,,,,0.0,,0.0,0.0,,,,,,,30.0,,,,,,,35.0,1.0,,,,4.0,,250.0,,5.0,,10.0,,4070.0,24066.10276,13778.74,,,,,,,,7224.0,24744.49684,16756.19034,,5.0,,,0.0,0.0,,0.0,0.0,,100.0,
Espigão D'Oeste (RO),Espigão D'Oeste,RO,10.0,,,,0.0,0.0,,0.0,0.0,,,1.0,6.936892176,3.155939095,,0.0,0.0,,65.0,,,,,5.0,580.0,1078.452,194.12136,,0.0,0.0,580.0,1078.452,194.12136,,,,,,,,0.0,,0.0,0.0,,5.0,,,,,10.0,,,,,,,,2.0,,,,4.0,,315.0,,,,20.0,,1394.0,8242.788022,4719.303084,,,,,,,,1902.0,6514.954734,4411.721211,,,4.0,,0.0,0.0,,0.0,0.0,,,
Guajará-Mirim (RO),Guajará-Mirim,RO,5.0,6.0,,,0.0,0.0,,0.0,0.0,,,1.0,6.936892176,3.155939095,,0.0,0.0,,30.0,2.0,,,,,62.0,115.2828,20.750904,,0.0,0.0,62.0,115.2828,20.750904,,1.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,1.0,7.0,,,,5.0,,330.0,,2.0,,15.0,,2100.0,12417.39946,7109.423585,,,,,,,,9625.0,32968.68523,22325.3505,,,2.0,,0.0,0.0,,0.0,0.0,,12.0,
Jaru (RO),Jaru,RO,6.0,2.0,,,0.0,0.0,,0.0,0.0,,3.0,,0.0,0.0,,0.0,0.0,,140.0,3.0,,,,1470.0,163.0,303.0822,54.554796,,0.0,0.0,163.0,303.0822,54.554796,,6.0,,,,,,0.0,,0.0,0.0,,,,,,,30.0,,,,,,,5.0,5.0,,,,,,460.0,,,,8.0,,450.0,2660.871313,1523.447911,,,,,,,,187.0,640.534456,433.7496669,,,,,0.0,0.0,,0.0,0.0,,,
Ji-Paraná (RO),Ji-Paraná,RO,10.0,2.0,,,0.0,0.0,,0.0,0.0,,2.0,300.0,2081.067653,946.7817286,,0.0,0.0,,10.0,1.0,,,,128.0,72.0,133.8768,24.097824,,0.0,0.0,72.0,133.8768,24.097824,,20.0,,,,,,0.0,,0.0,0.0,,5.0,,,,,2.0,,,,6.0,,,4.0,18.0,,,,4.0,,143.0,1.0,10.0,,20.0,,560.0,3311.306522,1895.846289,,,,,2.0,,,68.0,232.9216204,157.7271516,,,2.0,,0.0,0.0,,0.0,0.0,,3.0,
Machadinho D'Oeste (RO),Machadinho D'Oeste,RO,15.0,,,,0.0,0.0,,0.0,0.0,,2.0,1000.0,6936.892176,3155.939095,,0.0,0.0,,261.0,5.0,,,,290.0,1380.0,2565.972,461.87496,,0.0,0.0,1380.0,2565.972,461.87496,,9.0,,,,,,0.0,,0.0,0.0,,,,,,,25.0,,,,,30.0,,7.0,12.0,,,,,,436.0,,8.0,,90.0,,7425.0,43904.37666,25136.89053,,,,,2.0,,,15500.0,53092.42817,35952.51249,,8.0,1.0,,0.0,0.0,,0.0,0.0,,5.0,
Nova Brasilândia D'Oeste (RO),Nova Brasilândia D'Oeste,RO,5.0,1.0,,,0.0,0.0,,0.0,0.0,,1.0,10.0,69.36892176,31.55939095,,0.0,0.0,,50.0,2.0,,,,20.0,6900.0,12829.86,2309.3748,,0.0,0.0,6900.0,12829.86,2309.3748,,5.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,25.0,,,,2.0,,,,1.0,,,,3.0,,30.0,,5.0,,5.0,,1150.0,6800.004466,3893.255773,,15.0,,,1.0,,,1959.0,6710.197857,4543.933676,,,,,0.0,0.0,,0.0,0.0,,3.0,
Ouro Preto do Oeste (RO),Ouro Preto do Oeste,RO,10.0,2.0,,,0.0,0.0,,0.0,0.0,,,1.0,6.936892176,3.155939095,,0.0,0.0,,81.0,,,,,1020.0,440.0,818.136,147.26448,,0.0,0.0,440.0,818.136,147.26448,,14.0,,,,,,0.0,,0.0,0.0,,6.0,,,,,22.0,,,,,,,5.0,1.0,,,,2.0,,120.0,,4.0,,8.0,,1384.0,8183.657548,4685.448686,,,,,,,,2009.0,6881.463754,4659.909523,,,8.0,,0.0,0.0,,0.0,0.0,,,
Pimenta Bueno (RO),Pimenta Bueno,RO,50.0,5.0,,,0.0,0.0,,0.0,0.0,,2.0,,0.0,0.0,,0.0,0.0,,55.0,12.0,,,,5.0,200.0,371.88,66.9384,,0.0,0.0,200.0,371.88,66.9384,,50.0,,,,,,0.0,,0.0,0.0,,8.0,,,,,,,,,,,,15.0,9.0,,,,3.0,,160.0,,5.0,,40.0,,1401.0,8284.179353,4743.001163,,,,,,,,2085.0,7141.787918,4836.19281,,5.0,2.0,,0.0,0.0,,0.0,0.0,,2.0,
Porto Velho (RO),Porto Velho,RO,257.0,125.0,,,0.0,0.0,,0.0,0.0,,2.0,6300.0,43702.42071,19882.4163,,0.0,0.0,,2717.0,2.0,,,,298.0,2595.0,4825.143,868.52574,,0.0,0.0,2595.0,4825.143,868.52574,,56.0,,,,,,0.0,,0.0,0.0,,100.0,,,,,335.0,,,,7.0,1.0,,10.0,140.0,,,,35.0,,8660.0,,25.0,,200.0,20.0,21000.0,124173.9946,71094.23585,,,,,9.0,,,46994.0,160969.3916,109003.3788,,14.0,13.0,,0.0,0.0,,0.0,0.0,,30.0,
Presidente Médici (RO),Presidente Médici,RO,4.0,,,,0.0,0.0,,0.0,0.0,,5.0,5.0,34.68446088,15.77969548,,0.0,0.0,,57.0,,,,,37.0,265.0,492.741,88.69338,,0.0,0.0,265.0,492.741,88.69338,,6.0,,,,,,0.0,,0.0,0.0,,,,,,,12.0,,,,5.0,,,20.0,20.0,,,,10.0,,110.0,,80.0,,20.0,,35.0,206.9566576,118.4903931,,,,,,,,,0.0,0.0,,10.0,,,0.0,0.0,,0.0,0.0,,7.0,2.0
Rio Crespo (RO),Rio Crespo,RO,30.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,45.0,,,,,19.0,112.0,208.2528,37.485504,,0.0,0.0,112.0,208.2528,37.485504,,2.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,110.0,,,,5.0,,16684.0,98653.28218,56482.67766,,,,,,,,35494.0,121578.2352,82328.9341,,,,,0.0,0.0,,0.0,0.0,,74.0,
Rolim de Moura (RO),Rolim de Moura,RO,30.0,9.0,,,0.0,0.0,,0.0,0.0,,4.0,360.0,2497.281183,1136.138074,,0.0,0.0,,120.0,5.0,,,,70.0,1420.0,2640.348,475.26264,,0.0,0.0,1420.0,2640.348,475.26264,,20.0,,,,,,0.0,,0.0,0.0,,10.0,,,,,10.0,,,,3.0,6.0,,60.0,5.0,,,,23.0,,126.0,,12.0,,18.0,,3850.0,22765.23234,13033.94324,,,,,3.0,,,8017.0,27460.77398,18595.56727,,,4.0,,0.0,0.0,,0.0,0.0,,,
Santa Luzia D'Oeste (RO),Santa Luzia D'Oeste,RO,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,50.0,,,,,13.0,700.0,1301.58,234.2844,,0.0,0.0,700.0,1301.58,234.2844,,19.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,15.0,,,,2.0,,,5.0,1.0,,,,1.0,,14.0,,4.0,,6.0,,3246.0,19193.75174,10989.1376,,,,,,,,8417.0,28830.90115,19523.37404,,,20.0,,0.0,0.0,,0.0,0.0,,,
Vilhena (RO),Vilhena,RO,58.0,,,,0.0,0.0,9862.0,43249.31576,26490.2059,,3.0,290.0,2011.698731,915.2223377,,0.0,0.0,,5.0,20.0,,,,3.0,38.0,70.6572,12.718296,,0.0,0.0,38.0,70.6572,12.718296,,2.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,55.0,,,,2.0,,,6.0,3.0,,,,4.0,,15.0,,1.0,,10.0,,28515.0,168610.5455,96535.81596,,,,,,,,42514.0,145623.9672,98611.94298,,2.0,20.0,,0.0,0.0,,0.0,0.0,,2.0,
São Miguel do Guaporé (RO),São Miguel do Guaporé,RO,2.0,4.0,,,0.0,0.0,,0.0,0.0,,,4900.0,33990.77166,15464.10157,,0.0,0.0,,24.0,,,,,31.0,4175.0,7762.995,1397.3391,,0.0,0.0,4175.0,7762.995,1397.3391,,5.0,,,,,,0.0,,0.0,0.0,,,,,,,35.0,,,,,,,2.0,12.0,,,,1.0,,108.0,,4.0,,15.0,,14173.0,83805.62025,47981.83832,,,,,3.0,,,30971.0,106085.5221,71837.759,,,,,0.0,0.0,,0.0,0.0,,5.0,
Nova Mamoré (RO),Nova Mamoré,RO,15.0,3.0,,,0.0,0.0,,0.0,0.0,,2.0,300.0,2081.067653,946.7817286,,0.0,0.0,,150.0,,,,,18.0,260.0,483.444,87.01992,,0.0,0.0,260.0,483.444,87.01992,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,40.0,,,,6.0,,,5.0,10.0,,,,6.0,,200.0,4.0,2.0,,10.0,,1600.0,9460.875778,5416.703684,,,,,,,,11551.0,39565.8476,26792.74012,100.0,4.0,6.0,,0.0,0.0,,0.0,0.0,,2.0,
Alvorada D'Oeste (RO),Alvorada D'Oeste,RO,2.0,,,,0.0,0.0,,0.0,0.0,,,183.0,1269.451268,577.5368545,,0.0,0.0,,15.0,,,,,10.0,1290.0,2398.626,431.75268,,0.0,0.0,1290.0,2398.626,431.75268,,10.0,,,,,,0.0,,0.0,0.0,,,,,,,10.0,,,,3.0,,,3.0,2.0,,,,,,65.0,,2.0,,28.0,,30.0,177.3914208,101.5631941,,,,,1.0,,,1060.0,3630.837023,2458.687951,,,2.0,,0.0,0.0,,0.0,0.0,,3.0,
Alto Alegre dos Parecis (RO),Alto Alegre dos Parecis,RO,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,325.0,2254.489957,1025.680206,,0.0,0.0,,55.0,,,,,7.0,4088.0,7601.2272,1368.220896,,0.0,0.0,4088.0,7601.2272,1368.220896,,6.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,750.0,,,,12.0,,,1.0,10.0,,,,4.0,,25.0,,6.0,,12.0,,2872.0,16982.27202,9722.983112,,,,,20.0,,,3579.0,12259.21293,8301.551111,,,4.0,,0.0,0.0,,0.0,0.0,,1.0,
Alto Paraíso (RO),Alto Paraíso,RO,13.0,5.0,,,0.0,0.0,,0.0,0.0,,,2350.0,16301.69661,7416.456874,,0.0,0.0,,250.0,,,,,5.0,344.0,639.6336,115.134048,,0.0,0.0,344.0,639.6336,115.134048,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,80.0,,,,4.0,11.0,,5.0,6.0,,,,7.0,,30.0,,3.0,,27.0,,12100.0,71547.87307,40963.82161,,,,,,,,29566.0,101272.9504,68578.8377,,,2.0,,0.0,0.0,,0.0,0.0,,,
Buritis (RO),Buritis,RO,10.0,80.0,,,0.0,0.0,,0.0,0.0,,8.0,,0.0,0.0,,0.0,0.0,,500.0,,,,,450.0,4450.0,8274.33,1489.3794,,0.0,0.0,4450.0,8274.33,1489.3794,,2.0,,,,,,0.0,,0.0,0.0,,,,,,,15.0,,,,,,,7.0,8.0,,,,6.0,,130.0,,8.0,,30.0,,2175.0,12860.87801,7363.33157,,,,,,,,1237.0,4237.1183,2869.242449,,,2.0,,0.0,0.0,,0.0,0.0,,,
Novo Horizonte do Oeste (RO),Novo Horizonte do Oeste,RO,2.0,7.0,,,0.0,0.0,,0.0,0.0,,,10.0,69.36892176,31.55939095,,0.0,0.0,,36.0,3.0,,,,6.0,1630.0,3030.822,545.54796,,0.0,0.0,1630.0,3030.822,545.54796,,6.0,,,,,,0.0,,0.0,0.0,,,,,,,10.0,,,,,1.0,,,,,,,,,52.0,,15.0,,15.0,,2050.0,12121.74709,6940.151595,,,,,1.0,,,2975.0,10190.32089,6900.562882,,2.0,,,0.0,0.0,,0.0,0.0,,1.0,
Cacaulândia (RO),Cacaulândia,RO,1.0,6.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,55.0,1.0,,,,425.0,36.0,66.9384,12.048912,,0.0,0.0,36.0,66.9384,12.048912,,19.0,,,,,,0.0,,0.0,0.0,,5.0,,,,,3.0,,,,,,,5.0,3.0,,,,2.0,,60.0,,2.0,,10.0,,555.0,3281.741286,1878.91909,,,,,,,,550.0,1883.924871,1275.734314,,,,,0.0,0.0,,0.0,0.0,,2.0,
Campo Novo de Rondônia (RO),Campo Novo de Rondônia,RO,15.0,3.0,,,0.0,0.0,,0.0,0.0,,1.0,50.0,346.8446088,157.7969548,,0.0,0.0,,195.0,9.0,,,,168.0,430.0,799.542,143.91756,,0.0,0.0,430.0,799.542,143.91756,,9.0,,,,,,0.0,,0.0,0.0,,,,,,,30.0,,,,,,,6.0,,,,,3.0,,302.0,,2.0,,10.0,,420.0,2483.479892,1421.884717,,,,,,,,914.0,3130.740603,2120.038479,,,,,0.0,0.0,,0.0,0.0,,,
Candeias do Jamari (RO),Candeias do Jamari,RO,29.0,35.0,,,0.0,0.0,,0.0,0.0,,,4220.0,29273.68498,13318.06298,,0.0,0.0,,200.0,,,,,67.0,197.0,366.3018,65.934324,,0.0,0.0,197.0,366.3018,65.934324,,50.0,,,,,,0.0,,0.0,0.0,,7.0,,,,,33.0,,,,,6.0,,5.0,25.0,,,,8.0,,1700.0,,8.0,,4.0,,9630.0,56942.64609,32601.7853,,,,,,,,30894.0,105821.7726,71659.15619,,,2.0,,0.0,0.0,,0.0,0.0,,5.0,
Castanheiras (RO),Castanheiras,RO,15.0,,,,0.0,0.0,,0.0,0.0,,,250.0,1734.223044,788.9847739,,0.0,0.0,,30.0,2.0,,,,4.0,90.0,167.346,30.12228,,0.0,0.0,90.0,167.346,30.12228,,3.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,2.0,,,,2.0,,15.0,,10.0,,15.0,,3105.0,18360.01206,10511.79059,,,,,1.0,,,6500.0,22264.56665,15076.86008,10.0,,,,0.0,0.0,,0.0,0.0,,2.0,
Chupinguaia (RO),Chupinguaia,RO,10.0,,,,0.0,0.0,,0.0,0.0,,,120.0,832.4270611,378.7126914,,0.0,0.0,,20.0,,,,,2.0,48.0,89.2512,16.065216,,0.0,0.0,48.0,89.2512,16.065216,,2.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,70.0,,,,,,,3.0,4.0,,,,2.0,,100.0,,5.0,,10.0,,28483.0,168421.328,96427.48189,,,,,,,,44269.0,151635.4002,102682.6952,100.0,2.0,,,0.0,0.0,,0.0,0.0,,20.0,
Cujubim (RO),Cujubim,RO,220.0,3.0,,,0.0,0.0,,0.0,0.0,,2.0,3350.0,23238.58879,10572.39597,,0.0,0.0,,33.0,,,,,15.0,250.0,464.85,83.673,,0.0,0.0,250.0,464.85,83.673,,4.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,10.0,,10.0,2.0,,,,2.0,,132.0,,1.0,,15.0,,12837.0,75905.78898,43458.89074,,,,,,,,27291.0,93480.35207,63301.93668,,2.0,,,0.0,0.0,,0.0,0.0,,27.0,
Governador Jorge Teixeira (RO),Governador Jorge Teixeira,RO,3.0,,,,0.0,0.0,,0.0,0.0,,4.0,2.0,13.87378435,6.311878191,,0.0,0.0,,158.0,,,,,535.0,270.0,502.038,90.36684,,0.0,0.0,270.0,502.038,90.36684,,2.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,40.0,,,,3.0,,,,,,,,,,190.0,,,,18.0,,190.0,1123.478999,643.2335624,,,,,,,,,0.0,0.0,,,2.0,,0.0,0.0,,0.0,0.0,,,
Itapuã do Oeste (RO),Itapuã do Oeste,RO,29.0,20.0,,,0.0,0.0,,0.0,0.0,,,1737.0,12049.38171,5481.866209,,0.0,0.0,,23.0,2.0,,,,7.0,39.0,72.5166,13.052988,,0.0,0.0,39.0,72.5166,13.052988,,50.0,,,,,,0.0,,0.0,0.0,,12.0,,,,,,,,,,1.0,,7.0,4.0,,,,,,681.0,,4.0,,5.0,,8005.0,47333.94413,27100.44562,,30.0,,,,,,23500.0,80494.97174,54508.64798,,,,,0.0,0.0,,0.0,0.0,,1.0,
Ministro Andreazza (RO),Ministro Andreazza,RO,1.0,,,,0.0,0.0,,0.0,0.0,,,4.0,27.7475687,12.62375638,,0.0,0.0,,110.0,,,,,25.0,1395.0,2593.863,466.89534,,0.0,0.0,1395.0,2593.863,466.89534,,,,,,,,0.0,,0.0,0.0,,,,,,,50.0,,,,,,,6.0,7.0,,,,25.0,,65.0,,3.0,,3.0,,295.0,1744.348972,998.7047417,,,,,,,,,0.0,0.0,,29.0,,,0.0,0.0,,0.0,0.0,,,
Mirante da Serra (RO),Mirante da Serra,RO,10.0,2.0,,,0.0,0.0,,0.0,0.0,,4.0,4.0,27.7475687,12.62375638,,0.0,0.0,,14.0,4.0,,,,85.0,460.0,855.324,153.95832,,0.0,0.0,460.0,855.324,153.95832,,5.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,35.0,,,,,,,2.0,5.0,,,,2.0,,200.0,,2.0,,15.0,1.0,1622.0,9590.96282,5491.183359,,,,,2.0,,,1324.0,4535.120961,3071.040422,,,3.0,,0.0,0.0,,0.0,0.0,,,
Monte Negro (RO),Monte Negro,RO,2.0,,,,0.0,0.0,,0.0,0.0,,,10.0,69.36892176,31.55939095,,0.0,0.0,,310.0,,,,,200.0,212.0,394.1928,70.954704,,0.0,0.0,212.0,394.1928,70.954704,,6.0,,,,,,0.0,,0.0,0.0,,6.0,,,,,16.0,,,,,,,6.0,5.0,,,,6.0,,315.0,,6.0,,15.0,,70.0,413.9133153,236.9807862,,,,,,,,,0.0,0.0,,3.0,,,0.0,0.0,,0.0,0.0,,,
Nova União (RO),Nova União,RO,4.0,15.0,,,0.0,0.0,,0.0,0.0,,,3.0,20.81067653,9.467817286,,0.0,0.0,,49.0,,,,,264.0,100.0,185.94,33.4692,,0.0,0.0,100.0,185.94,33.4692,,3.0,,,,,,0.0,,0.0,0.0,,,,,,,12.0,,,,4.0,,,,,,,,,,30.0,1.0,,,4.0,,305.0,1803.479445,1032.55914,,,,,,,,209.0,715.8914508,484.7790394,,,1.0,,0.0,0.0,,0.0,0.0,,,
Parecis (RO),Parecis,RO,5.0,,,,0.0,0.0,,0.0,0.0,,,5.0,34.68446088,15.77969548,,0.0,0.0,,20.0,,,,,2.0,420.0,780.948,140.57064,,0.0,0.0,420.0,780.948,140.57064,,5.0,,,,,,0.0,,0.0,0.0,,,,,,,50.0,,,,,,,2.0,,,,,1.0,,124.0,,5.0,,3.0,,2888.0,17076.88078,9777.150149,,,,,,,,5229.0,17910.98754,12128.75405,,,,,0.0,0.0,,0.0,0.0,,,
Pimenteiras do Oeste (RO),Pimenteiras do Oeste,RO,,,,,0.0,0.0,,0.0,0.0,,1.0,8750.0,60697.80654,27614.46708,,0.0,0.0,,5.0,1.0,,,,1.0,18.0,33.4692,6.024456,,0.0,0.0,18.0,33.4692,6.024456,,3.0,,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,1.0,1.0,,,,,,10.0,,,,1.0,,41205.0,243647.1165,139497.0471,,,,,,,,64000.0,219220.3486,148449.0838,20.0,2.0,,,0.0,0.0,,0.0,0.0,,1.0,
Primavera de Rondônia (RO),Primavera de Rondônia,RO,3.0,4.0,,,0.0,0.0,,0.0,0.0,,1.0,10.0,69.36892176,31.55939095,,0.0,0.0,,13.0,,,,,1.0,180.0,334.692,60.24456,,0.0,0.0,180.0,334.692,60.24456,,2.0,,,,,,0.0,,0.0,0.0,,,,,,,8.0,,,,,,,4.0,2.0,,,,2.0,,70.0,,,,20.0,,210.0,1241.739946,710.9423585,,,,,2.0,,,542.0,1856.522327,1257.178179,,2.0,2.0,,0.0,0.0,,0.0,0.0,,,
São Felipe D'Oeste (RO),São Felipe D'Oeste,RO,1.0,,,,0.0,0.0,,0.0,0.0,,1.0,4.0,27.7475687,12.62375638,,0.0,0.0,,124.0,1.0,,,,80.0,207.0,384.8958,69.281244,,0.0,0.0,207.0,384.8958,69.281244,,1.0,,,,,,0.0,,0.0,0.0,,,,,,,15.0,,,,2.0,,,4.0,,,,,3.0,,43.0,,3.0,,12.0,,2860.0,16911.31545,9682.357835,,,,,3.0,,,2851.0,9765.581465,6612.942782,30.0,2.0,15.0,,0.0,0.0,,0.0,0.0,,15.0,
São Francisco do Guaporé (RO),São Francisco do Guaporé,RO,10.0,1.0,,,0.0,0.0,,0.0,0.0,,,1000.0,6936.892176,3155.939095,,0.0,0.0,,45.0,,,,,2.0,783.0,1455.9102,262.063836,,0.0,0.0,783.0,1455.9102,262.063836,,,,,,,,0.0,,0.0,0.0,,,,,,,2.0,,,,,,,1.0,2.0,,,,,,75.0,,1.0,,10.0,,5960.0,35241.76227,20177.22122,,,,,3.0,,,9461.0,32406.93309,21944.94972,100.0,,1.0,,0.0,0.0,,0.0,0.0,,100.0,
Seringueiras (RO),Seringueiras,RO,3.0,,,,0.0,0.0,,0.0,0.0,,1.0,850.0,5896.358349,2682.548231,,0.0,0.0,,20.0,,,,,42.0,1321.0,2456.2674,442.128132,,0.0,0.0,1321.0,2456.2674,442.128132,,6.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,1.0,,,,,,,,,,,,,,110.0,,70.0,,10.0,,3280.0,19394.79535,11104.24255,,,,,4.0,,,4562.0,15626.30047,10581.63626,30.0,,1.0,,0.0,0.0,,0.0,0.0,,80.0,
